case_num,pit_gain,p_shoe,sbp_dyn_control,sbp_shut_in
100,5.311213,8006.536,838.8993,1021.735
10,4.2715023,7988.806,835.1107,1004.486
11,7.357095,7981.74,825.9836,997.7491
12,4.9407245,7997.026,839.3928,1013.426
13,3.776657,7939.642,791.086,956.2457
14,5.10792522,7986.762,826.9163,1001.292
15,1.841467,8115.088,924.4319,1096.989
16,2.440181,7969.313,810.2456,984.9036
17,3.659848,7989.495,828.3138,1004.111
18,4.242946,7981.764,830.3396,998.1476
19,4.6474101,8033.636,870.7906,1048.723
1,10.716762,8059.708,934.774,935.3394
20,3.50053,8075.149,920.3494,1088.181
21,7.250184,8062.931,906.0722,1074.748
22,6.0562602,7973.848,808.1906,990.2395
23,3.997753,7959.4,800.4871,975.5355
24,4.4310005,7949.772,793.939,966.0023
25,1.849966,8020.515,837.0773,1019.444
26,6.336462,8045.174,885.0202,1058.462
27,4.8904576,8079.022,921.2893,1092.524
28,1.806914,8034.376,844.0538,1022.843
29,4.7163656,8038.474,877.5861,1052.773
2,3.431463,8002.713,831.397,1001.102
30,2.895926,8041.421,864.0642,1028.409
31,2.148487,8036.307,856.0511,1034.373
32,3.530016,7959.785,810.4229,975.5835
33,3.693468,8028.491,865.9989,1043.87
34,3.589778,7936.068,784.7196,950.7117
35,6.805259,8067.412,905.3766,1079.966
36,5.559355,7955.922,797.903,971.3825
37,1.561013,8007.098,823.4848,994.5501
38,4.4743069,7988.34,828.5961,1002.895
39,9.746146,7958.772,800.712,973.8849
3,4.043413,7987.088,837.2162,1002.466
40,5.9508441,7978.964,814.6288,995.3089
41,4.8346833,8002.114,849.7201,1016.814
42,2.169765,7977.035,821.7844,994.1918
43,0.905553,7961.23,792.6197,962.5294
44,3.125067,7974.129,821.0332,991.1962
45,3.999207,7960.875,805.5345,975.9643
46,7.133431,8052.547,896.1602,1065.028
47,2.177119,7980.04,822.3933,994.7242
48,4.6588637,8058.86,896.3865,1071.849
49,2.951916,8002.114,829.9105,1000.377
4,2.472933,8049.893,887.4472,1063.386
50,9.124255,7989.184,832.7257,1005.044
51,7.493033,8057.194,897.9947,1069.909
52,13.058973,7992.86,828.2336,1007.95
53,8.721212,7987.054,823.466,1002.348
54,2.399877,8072.005,889.874,1057.257
55,1.893609,7993.301,836.4591,1009.526
56,6.181595,8050.404,885.1922,1064.922
57,4.023279,8062.943,908.6176,1076.906
58,5.6663281,7983.953,819.4,999.6462
59,4.1422043,8058.144,893.6979,1072.944
5,8.523177,7945.664,792.959,962.104
60,6.325974,8061.447,902.3277,1074.103
61,5.1483434,8038.699,886.8559,1051.861
62,5.1927363,8012.034,844.046,1027.062
63,5.3893319,8013.958,854.4439,1029.461
64,8.83841,8030.239,873.0387,1044.468
65,3.141397,8063.137,883.7693,1058.624
66,5.3735133,8070.326,908.2985,1082.768
67,2.048027,7989.513,834.5861,1005.86
68,3.288732,8001.376,843.3072,1017.589
69,9.112348,8050.416,886.0203,1065.399
6,2.226254,7984.002,806.3258,976.6518
70,5.8951828,8036.557,867.06,1049.684
71,5.6769105,7955.504,793.584,972.2871
72,3.89992,7991.451,839.4546,1006.714
73,1.948349,8037.213,863.1606,1033.983
74,8.234769,8071.521,903.3602,1085.543
75,5.0598284,8039.458,879.9423,1053.452
76,15.736615,8098.512,937.3602,1111.292
77,2.462281,8023.566,844.9356,1019.84
78,4.904385,8024.393,860.8201,1040.435
79,6.394748,7995.869,836.3486,1010.876
7,5.27157003,8049.296,890.8938,1062.33
80,6.656994,7989.043,829.7968,1003.375
81,2.241922,8053.065,884.1982,1049.478
82,2.637882,8038.234,854.4772,1036.204
83,4.8078484,7946.339,784.3258,963.8174
84,3.539272,8069.459,908.1551,1081.695
85,4.7669337,7982.283,831.7177,996.3492
86,3.06921,7993.227,832.4718,1007.472
87,8.161634,8052.14,891.9769,1065.342
88,2.411816,7958.272,798.1938,974.631
89,2.540177,8005.94,821.971,997.7486
8,3.450919,7955.367,800.6343,971.2083
90,3.831615,8006.736,852.7471,1021.777
91,1.81735,7958.349,787.687,960.1357
92,3.753093,8028.643,876.3793,1041.808
93,3.366962,7942.979,789.2961,959.3994
94,5.3457082,8025.188,863.2237,1040.514
95,7.088712,7996.95,841.5084,1010.76
96,1.65518,8123.241,930.6962,1103.855
97,4.9000259,8036.993,878.3211,1050.827
98,3.120651,7983.338,828.1948,1000.103
99,5.5580794,7996.749,839.5836,1013.096
9,6.0637811,7993.205,832.3866,1007.452
